Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1947       0        905930.67    943341.24   1849271.91
1947       1-4     3716618.49   3801450.87   7518069.36
1947       5-9     4397822.47   4491431.19   8889253.66
1947      10-14    4324360.38   4402914.29   8727274.67
1947      15-19    4055728.31   4068931.25   8124659.56
1947      20-24    3620097.97   3154891.25   6774989.22
1947      25-29    2993125.39   2366911.89   5360037.28
1947      30-34    2747515.36   2367393.00   5114908.36
1947      35-39    2498469.89   2314574.31   4813044.20
1947      40-44    2047061.35   2082842.07   4129903.42
1947      45-49    1837702.16   1911034.09   3748736.25
1947      50-54    1509030.27   1568567.41   3077597.68
1947      55-59    1314240.51   1296504.35   2610744.86
1947      60-64    1107117.48    980239.42   2087356.90
1947      65-69     946037.29    760018.71   1706056.00
1947      70-74     657923.06    474289.17   1132212.23
1947      75-79     324217.50    205461.34    529678.84
1947      80-84     148114.41     79250.89    227365.30
1947      85-89      41790.14     18417.28     60207.42
1947      90-94       8286.18      2899.91     11186.09
1947      95-99        909.16       285.50      1194.66
1947     100-104        65.86        12.89        78.75
1947     105-109         3.68         0.00         3.68
1947     110+            2.00         1.00         3.00
1948       0       1230367.41   1292255.48   2522622.89
1948       1-4     3560937.38   3656441.62   7217379.00
1948       5-9     4490151.86   4591416.85   9081568.71
1948      10-14    4331793.58   4418006.02   8749799.60
1948      15-19    4105870.44   4131679.76   8237550.20
1948      20-24    3691264.70   3392708.80   7083973.50
1948      25-29    3082759.76   2406306.46   5489066.22
1948      30-34    2754656.57   2359003.03   5113659.60
1948      35-39    2545403.96   2312408.06   4857812.02
1948      40-44    2082167.05   2091271.53   4173438.58
1948      45-49    1893215.77   1952423.90   3845639.67
1948      50-54    1542926.81   1601392.37   3144319.18
1948      55-59    1329454.11   1316079.98   2645534.09
1948      60-64    1116975.48   1001999.95   2118975.43
1948      65-69     954458.95    765219.36   1719678.31
1948      70-74     679278.83    488637.40   1167916.23
1948      75-79     344778.04    217479.32    562257.36
1948      80-84     154904.88     82634.12    237539.00
1948      85-89      42146.03     18286.70     60432.73
1948      90-94       8508.81      2982.12     11490.93
1948      95-99        916.15       272.75      1188.90
1948     100-104        59.96        11.41        71.37
1948     105-109         4.31         0.00         4.31
1948     110+            2.00         1.00         3.00
1949       0       1249384.58   1311206.71   2560591.29
1949       1-4     3769526.03   3902053.23   7671579.26
1949       5-9     4609787.48   4721403.46   9331190.94
1949      10-14    4300928.34   4389477.18   8690405.52
1949      15-19    4149499.58   4195652.22   8345151.80
